event_id,event_description,start_tstamp,confirmed_tstamp,created_tstamp,closed_tstamp,event_type,event_subtype,location,latitude,longitude,number_of_responders,lanes_affected
MDOT_CHART_77004427006900d6003f05e897035daa,Incident @ MD 295 S/B RAMP TO MD 201[Disabled In Roadway],,2003-12-09 19:31:19-05,2003-12-09 19:28:41-05,2003-12-09 19:45:11-05,accidentsAndIncidents,disabled vehicle,MD 295 S/B RAMP TO MD 201,38.9251924,-76.9250538,1.0,0.0
MDOT_CHART_4f0069d4006f00d6003f05e897035daa,Incident @ ident @ MD 295 S/B RAMP TO MD 201[Disabled In Roa,,2003-12-09 19:31:19-05,2003-12-09 19:56:28-05,2003-12-09 20:18:16-05,accidentsAndIncidents,incident,MD 295 S/B RAMP TO MD 201,38.9264625,-76.9226103,2.0,
MDOT_CHART_0b00096f00cc00d6003f8de833035daa,"Incident @ I-95 IN VIRGINIA @ US[Collision, Personal Injury]",,2003-12-10 02:35:20-05,2003-12-10 02:32:33-05,2003-12-10 20:37:23-05,accidentsAndIncidents,accident,I-95 IN VIRGINIA @ US 1(EXIT 177),39.0183333,-76.9258881,1.0,10.0
MDOT_CHART_40006d2e000100d7003f05e897035daa,Congestion Event @ I-495 PRIOR MD 650,,,2003-12-10 06:16:37-05,2003-12-10 23:02:23-05,trafficConditions,traffic congestion,I-495 PRIOR MD 650,39.0179844,-76.9745716,0.0,
MDOT_CHART_2900106c000a00d7003f04e897035daa,"Incident @ MD 115 AT MD 28[Collision, Fatality]",,2003-12-10 06:59:05-05,2003-12-10 06:56:20-05,2003-12-10 23:07:23-05,accidentsAndIncidents,accident,MD 115 AT MD 28,39.1073181,-77.0766221,8.0,4.0
MDOT_CHART_c4ff19f7001100d7003f04e897035daa,"Incident @ I-95 N. OF AUTH RD[Collision, Personal Injury]",,2003-12-10 07:31:18-05,2003-12-10 07:28:32-05,2003-12-10 21:22:23-05,accidentsAndIncidents,accident,I-95 N. OF AUTH RD,39.0219978,-76.9345069,6.0,3.0
MDOT_CHART_49001058001a00d7003f8ce833035daa,"Incident @ MD 4 @ MD 408[Collision, Personal Injury]",,2003-12-10 08:06:52-05,2003-12-10 08:04:05-05,2003-12-10 22:52:23-05,accidentsAndIncidents,accident,MD 4 @ MD 408,38.8095476,-76.7024744,2.0,12.0
MDOT_CHART_04ff4982009600d7003f04e897035daa,Incident @ I-495 BETWEEN MD 190 AND BRAD[Emergency Roadwork],,2003-12-10 16:57:20-05,2003-12-10 16:54:33-05,2003-12-10 21:35:40-05,roadwork,road construction,I-495 BETWEEN MD 190 AND BRADLEY BLVD,38.9893181,-77.1541152,6.0,1.0
MDOT_CHART_48ff5b9f00ab00d7003f04e897035daa,Incident @ I-95 ON WW BRIDGE[Disabled In Roadway],,2003-12-10 18:27:04-05,2003-12-10 18:24:17-05,2003-12-10 18:51:35-05,obstruction,debris on roadway,I-95 ON WW BRIDGE,38.791636,-77.0211401,3.0,1.0
MDOT_CHART_3700256600e400d7003f8de833035daa,Incident @ I-495 BTWN MD 190 AND BRADLEY BLVD,,2003-12-10 16:57:20-05,2003-12-10 22:25:52-05,2003-12-20 18:39:29-05,accidentsAndIncidents,incident,I-495 BTWN MD 190 AND BRADLEY BLVD,38.9905056,-77.1545332,8.0,2.0
MDOT_CHART_6a00522e002200d8003f8ce833035daa,Incident @ ther Service Event @ MD 117 AT I-270,,2003-12-11 01:50:35-05,2003-12-11 02:49:36-05,2003-12-11 20:07:23-05,accidentsAndIncidents,incident,MD 117 AT I-270,39.1383513,-77.2076769,4.0,8.0
MDOT_CHART_e4ff55a3002400d8003f8ce833035daa,Incident @ MD 115 BETWEEN AVERY AND RT 28[Other],,2003-12-11 03:03:50-05,2003-12-11 03:01:03-05,2003-12-11 20:07:23-05,accidentsAndIncidents,incident,MD 115 BETWEEN AVERY AND RT 28,39.1131414,-77.0898371,2.0,4.0
MDOT_CHART_c4ff05ce004d00d8003f04e897035daa,Congestion Event @ I-95 CONGESTION PRIOR TO WW BRIDGE,,2003-12-11 05:58:57-05,2003-12-11 05:56:14-05,2003-12-11 20:42:23-05,trafficConditions,traffic congestion,I-95 CONGESTION PRIOR TO WW BRIDGE,38.7924264,-77.0325872,0.0,
MDOT_CHART_1f004ab8005400d8003f8de833035daa,Incident @ MD 880 BETWEEN MD 85 & MD 80[Other],,2003-12-11 06:29:00-05,2003-12-11 06:26:12-05,2003-12-11 13:11:37-05,accidentsAndIncidents,incident,MD 880 BETWEEN MD 85 & MD 80,39.3311147,-77.4309859,1.0,6.0
MDOT_CHART_73ffd0a9005500d8003f05e897035daa,Incident @ I-270 AT I-495[Other],,,2003-12-11 06:29:50-05,2003-12-11 20:12:23-05,accidentsAndIncidents,incident,I-270 AT I-495,39.0128551,-77.1471286,4.0,2.0
MDOT_CHART_d0ff0dc7005500d8003f07e897035daa,"Incident @ I-95 ON WW BRIDGE[Collision, Property Damage]",,2003-12-11 06:33:34-05,2003-12-11 06:31:25-05,2003-12-11 19:57:23-05,accidentsAndIncidents,accident,I-95 ON WW BRIDGE,38.7864918,-77.0326346,5.0,1.0
MDOT_CHART_6a00de7d006a00d8003f05e897035daa,Incident @ I-495 AT MD 97[Disabled In Roadway],,2003-12-11 08:10:46-05,2003-12-11 07:58:05-05,2003-12-11 21:12:23-05,accidentsAndIncidents,disabled vehicle,I-495 AT MD 97,39.0116905,-77.0389894,3.0,
MDOT_CHART_b7004a56007000d8003f07e897035daa,"Incident @ I-495 AT CLARA BARTON[Collision, Personal Injury]",,2003-12-11 08:26:18-05,2003-12-11 08:23:29-05,2003-12-11 22:02:23-05,accidentsAndIncidents,accident,I-495 AT CLARA BARTON,38.9732246,-77.1799273,6.0,2.0
MDOT_CHART_efff228a007800d8003f8fe833035daa,Incident @ I-95N PRIOR TO MD 216[Disabled In Roadway],,2003-12-11 09:02:09-05,2003-12-11 08:59:22-05,2003-12-11 22:17:23-05,accidentsAndIncidents,incident,I-95N PRIOR TO MD 216,39.1271729,-76.8636987,4.0,1.0
MDOT_CHART_4e0051de007800d8003f07e897035daa,Incident @ I-95 PRIOR TO MD 216[Disabled In Roadway],,2003-12-11 09:02:44-05,2003-12-11 08:59:56-05,2003-12-11 22:07:23-05,accidentsAndIncidents,disabled vehicle,I-95 PRIOR TO MD 216,39.1286604,-76.8609481,2.0,
MDOT_CHART_d4ff086200c500d8003f05e897035daa,Incident @ I-95 at MD 212[Vehicle Fire],,2003-12-11 14:29:04-05,2003-12-11 14:26:30-05,2003-12-11 17:14:49-05,accidentsAndIncidents,vehicle on fire,I-95 at MD 212,39.0498213,-76.9291999,11.0,5.0
MDOT_CHART_a7ff37f900d300d8003f04e897035daa,Incident @ I-270 N/B AT MD 117[Other],,2003-12-11 15:32:11-05,2003-12-11 15:29:39-05,2003-12-11 15:38:11-05,accidentsAndIncidents,incident,I-270 N/B AT MD 117,39.1402309,-77.2101769,3.0,1.0
MDOT_CHART_24ff03d6008200d9003f8ce833035daa,Incident @ MD 170 AT CABIN BRANCH LANE[Other],,2003-12-12 03:58:48-05,2003-12-12 03:56:01-05,2003-12-12 15:01:37-05,accidentsAndIncidents,incident, BGE 410-291-5135,39.1957225,-76.6575632,4.0,8.0
MDOT_CHART_40ff0ad9009400d9003f8ce833035daa,Incident @ MD 295 AT I-195[Other],,2003-12-12 05:13:59-05,2003-12-12 05:11:11-05,2003-12-12 19:02:23-05,accidentsAndIncidents,incident,MD 295 AT I-195,39.2024626,-76.6941705,6.0,4.0
MDOT_CHART_8bff7cb600b100d9003f07e897035daa,"Incident @ MD 109 AT JERUSALEM RD[Collision, Fatality]",,2003-12-12 07:17:21-05,2003-12-12 07:14:35-05,2003-12-13 00:52:23-05,accidentsAndIncidents,accident,MD 109 AT JERUSALEM RD,39.1514316,-77.4159817,5.0,4.0
MDOT_CHART_c1ff1a4f00b200d9003f05e897035daa,Incident @ MD 118 AT MIDDLEBROOK RD[Other],,,2003-12-12 07:17:04-05,2003-12-12 20:42:23-05,accidentsAndIncidents,incident,MD 118 AT MIDDLEBROOK RD,39.1777537,-77.2664842,4.0,3.0
MDOT_CHART_8bff14d500d900d9003f8ce833035daa,"Incident @ MD 408 @ MD 259[Collision, Personal Injury]",,2003-12-12 10:08:21-05,2003-12-12 10:05:34-05,2003-12-12 16:24:02-05,accidentsAndIncidents,accident,MD 408 @ MD 259,38.8153021,-76.6335738,4.0,6.0
MDOT_CHART_9bff975d00ff00d9003f07e897035daa,Incident @ BENNING RD BTWN 17TH AND 295[Police Activity],,2003-12-12 12:49:03-05,2003-12-12 12:46:19-05,2003-12-12 15:23:24-05,accidentsAndIncidents,incident,BENNING RD BTWN 17TH AND 295,38.8858454,-76.8973564,2.0,0.0
MDOT_CHART_c2ff20a8015300da003f04e897035daa,"Incident @ I-495 AT US ROUTE 50[Collision, Personal Injury]",,,2003-12-12 18:45:29-05,2003-12-12 19:22:22-05,accidentsAndIncidents,accident,I-495 AT US ROUTE 50,38.9457942,-76.8565895,3.0,2.0
MDOT_CHART_daff1f97005a00da003f8ce833035daa,Incident @ I-70 AT EXIT 52 US 15[Vehicle Fire],,2003-12-12 19:18:17-05,2003-12-12 19:15:29-05,2003-12-12 21:41:25-05,accidentsAndIncidents,vehicle on fire,I-70 AT EXIT 52 US 15,39.3984521,-77.4390255,6.0,5.0
MDOT_CHART_5700393f001200dc003f8de833035daa,"Incident @ MD 198 RAMP TO N/B I-95[Collision, Fatality]",,2003-12-14 02:34:53-05,2003-12-14 02:32:04-05,2003-12-14 18:47:31-05,accidentsAndIncidents,accident,MD 198 RAMP TO N/B I-95,39.098976,-76.8871666,8.0,1.0
MDOT_CHART_f0ff4b95004300dc003f8de833035daa,"Incident @ MD 4 AT US 301[Collision, Property Damage]",,2003-12-14 06:04:06-05,2003-12-14 06:01:17-05,2003-12-14 20:37:23-05,accidentsAndIncidents,accident,MD 4 AT US 301,38.8133364,-76.7374673,8.0,6.0
MDOT_CHART_0e0053a4004a00dc003f8de833035daa,"Incident @ I-695 RAMP TO HOLLINS[Collision, Property Damage]",,2003-12-14 06:35:50-05,2003-12-14 06:33:01-05,2003-12-14 20:32:23-05,accidentsAndIncidents,accident,I-695 RAMP TO HOLLINS FERRYI,39.2357571,-76.6673367,2.0,1.0
MDOT_CHART_e7ff8562005700dc003f05e897035daa,"Incident @ US 301 AT EXCALIBUR[Collision, Property Damage]",,2003-12-14 07:28:41-05,2003-12-14 07:27:05-05,2003-12-14 14:42:43-05,accidentsAndIncidents,accident,US 301 AT EXCALIBUR,38.9262271,-76.7163283,3.0,0.0
MDOT_CHART_f7ff8c47005800dc003f8ce833035daa,"Incident @ MD 295 AT MD 100[Collision, Property Damage]",,2003-12-14 07:32:21-05,2003-12-14 07:29:32-05,2003-12-14 21:27:23-05,accidentsAndIncidents,accident,MD 295 AT MD 100,39.16892,-76.729799,4.0,2.0
MDOT_CHART_1b00935b006100dc003f8ce833035daa,Incident @ MD 100 RAMP TO S/B MD 295[Other],,2003-12-14 08:12:30-05,2003-12-14 08:09:42-05,2003-12-14 21:57:23-05,accidentsAndIncidents,incident,MD 100 RAMP TO S/B MD 295,39.1700284,-76.7290818,2.0,0.0
MDOT_CHART_abffa2fe006200dc003f05e897035daa,"Incident @ MD 97 AT SHOREFIELD[Collision, Property Damage]",,2003-12-14 08:18:07-05,2003-12-14 08:15:46-05,2003-12-14 21:57:23-05,accidentsAndIncidents,accident,MD 97 AT SHOREFIELD,39.0523364,-77.0499613,1.0,1.0
MDOT_CHART_a9ffa1fd006200dc003f05e897035daa,"Incident @ MD 124 AT GOSHEN[Collision, Property Damage]",,2003-12-14 08:20:11-05,2003-12-14 08:17:33-05,2003-12-14 21:57:23-05,accidentsAndIncidents,accident,MD 124 AT GOSHEN,39.1577723,-77.1916833,2.0,0.0
MDOT_CHART_f4ffb235006400dc003f05e897035daa,Incident @ I-495 AT MD 185,,2003-12-14 08:22:20-05,2003-12-14 08:20:39-05,2003-12-14 21:37:23-05,accidentsAndIncidents,disabled vehicle,I-495 AT MD 185,39.0056321,-77.0752509,1.0,1.0
MDOT_CHART_8eff100c00c900dc003f05e897035daa,Incident @ MD 202 AT BRIGHTSEAT[Disabled In Roadway],,2003-12-14 15:33:35-05,2003-12-14 15:30:50-05,2003-12-14 16:17:44-05,accidentsAndIncidents,disabled vehicle,MD 202 AT BRIGHTSEAT,38.9179849,-76.859024,3.0,2.0
MDOT_CHART_c5ff799400eb00dc003f8de833035daa,Incident @ MD 216 BTW. BROWN'S BR. & HALL SHOP RD[Other],,2003-12-14 18:01:57-05,2003-12-14 18:00:52-05,2003-12-15 20:42:23-05,accidentsAndIncidents,incident,MD 216 BTW. BROWN'S BR. & HALL SHOP RD,39.1717192,-76.9523008,3.0,4.0
MDOT_CHART_b1ff0254009300dd003f07e8b3035daa,Action Event @ BWI Parking [Other],,,2003-12-15 05:54:54-05,2003-12-24 00:32:23-05,accidentsAndIncidents,incident,BWI Parking,39.1863599,-76.6495062,0.0,
MDOT_CHART_bfff472200ac00dd003f05e897035daa,"Incident @ US 50 W OF MD 197[Collision, Personal Injury]",,,2003-12-15 07:39:33-05,2003-12-15 21:17:23-05,accidentsAndIncidents,incident,US 50 W OF MD 197,38.9517249,-76.7407791,6.0,1.0
MDOT_CHART_1dff039b00b700dd003f07e8b3035daa,Action Event @ BWI Parking [Other],,,2003-12-15 08:28:56-05,2003-12-23 18:12:23-05,accidentsAndIncidents,incident,BWI Parking,39.1979387,-76.6560517,0.0,
MDOT_CHART_9eff132100c100dd003f04e897035daa,"Incident @ I-495  BETWEEN MD 650[Collision, Property Damage]",,2003-12-15 09:13:23-05,2003-12-15 09:10:33-05,2003-12-15 14:01:14-05,accidentsAndIncidents,accident,I-495  BETWEEN MD 650 AND MD 193,39.0172884,-76.9759063,4.0,3.0
MDOT_CHART_1100267500c300dd003f06e89f035daa,"Incident @ I-695 EXIT 22 GREENSP[Collision, Property Damage]",,2003-12-15 09:22:04-05,2003-12-15 09:22:58-05,2003-12-15 22:32:23-05,accidentsAndIncidents,incident,I-695 EXIT 22 GREENSPRING AVE,39.3949705,-76.6943496,2.0,1.0
MDOT_CHART_45ff0cc200cb00dd003f07e897035daa,Incident @ MD 193 E/B AT ST. PAUL[Emergency Roadwork],,2003-12-15 10:01:16-05,2003-12-15 09:59:17-05,2003-12-16 17:17:23-05,roadwork,road construction,MD 193 E/B AT ST. PAUL,39.0348723,-77.0644683,2.0,2.0
MDOT_CHART_ebff5eea00f900dd003f05e897035daa,Incident @ MD 193 AT MD 320[Emergency Roadwork],,2003-12-15 13:14:36-05,2003-12-15 13:11:46-05,2003-12-16 17:02:23-05,roadwork,road construction,MD 193 AT MD 320,38.9981318,-76.9947193,3.0,0.0
MDOT_CHART_21004d2300fe00dd003f06e89f035daa,Incident @ I-695 AT EXIT 31 MD 147[Debris In Roadway],,2003-12-15 13:32:26-05,2003-12-15 13:33:21-05,2003-12-15 14:44:34-05,obstruction,debris on roadway,I-695 AT EXIT 31 MD 147,39.3875398,-76.5297138,1.0,
MDOT_CHART_4900543a000700de003f06e89f035daa,Incident @ I-695 PRIOR EXIT 14 EDMONDSO[Disabled In Roadway],,2003-12-15 14:11:41-05,2003-12-15 14:12:38-05,2003-12-15 14:26:20-05,accidentsAndIncidents,disabled vehicle,I-695 PRIOR EXIT 14 EDMONDSON AVE,39.2817267,-76.7301242,1.0,1.0
MDOT_CHART_b0ff21cb001a00de003f04e897035daa,Incident @ MD 320 N/B S. OF BARRON ST.[Emergency Roadwork],,2003-12-15 15:35:32-05,2003-12-15 15:32:54-05,2003-12-16 17:17:23-05,roadwork,road construction,MD 320 N/B S. OF BARRON ST.,38.9999405,-76.9898101,1.0,1.0
MDOT_CHART_a9007d41004000de003f05e897035daa,"Incident @ I-495 RAMP TO S/B MD [Collision, Property Damage]",,2003-12-15 18:14:45-05,2003-12-15 18:11:55-05,2003-12-15 20:28:56-05,accidentsAndIncidents,accident,I-495 RAMP TO S/B MD 97,39.0121723,-77.0408764,6.0,1.0
MDOT_CHART_d9ff0e2a00d300de003f8ce833035daa,"Incident @ MD 115 @ BOWIE MILL R[Collision, Personal Injury]",,2003-12-16 04:41:37-05,2003-12-16 04:38:48-05,2003-12-16 12:38:50-05,accidentsAndIncidents,accident,MD 115 @ BOWIE MILL RD,39.1347438,-77.1240888,2.0,8.0
MDOT_CHART_b5ff11d700ff00de003f8ce833035daa,"Incident @ I-95 @ MD 216[Collision, Property Damage]",,2003-12-16 07:52:19-05,2003-12-16 07:49:29-05,2003-12-16 21:32:23-05,accidentsAndIncidents,accident,I-95 @ MD 216,39.1278537,-76.8605195,5.0,1.0
MDOT_CHART_83ff9c35000600df003f05e897035daa,"Incident @ I-95 RAMP TO MD 216[Collision, Property Damage]",,,2003-12-16 08:16:09-05,2003-12-16 19:48:45-05,accidentsAndIncidents,accident,I-95 RAMP TO MD 216,39.1278863,-76.8602414,8.0,0.0
MDOT_CHART_6600391b006700df003f04e897035daa,Incident @ MD 28(W.MONT) AT DARNESTOWN R[Emergency Roadwork],,2003-12-16 15:13:57-05,2003-12-16 15:11:07-05,2003-12-17 19:42:23-05,roadwork,road construction,MD 28(W.MONT) AT DARNESTOWN RD,39.1004697,-77.2126287,3.0,2.0
MDOT_CHART_0cffd10a008500df003f05e897035daa,Disabled Vehicle Event @ I-95 O/L AT MD 5 R/SH,,2003-12-16 17:17:54-05,2003-12-16 17:17:54-05,2003-12-16 17:34:40-05,accidentsAndIncidents,disabled vehicle,I-95 O/L AT MD 5 R/SH,38.8184952,-76.9152355,1.0,
MDOT_CHART_b5fe9ac1008a00df003f8de833035daa,"Incident @ I-95 PRIOR TO MD175[Collision, Personal Injury]",,2003-12-16 17:47:31-05,2003-12-16 17:44:59-05,2003-12-16 18:02:18-05,accidentsAndIncidents,accident,I-95 PRIOR TO MD175,39.1782295,-76.788145,3.0,2.0
MDOT_CHART_acffa44c00ec00df003f8de833035daa,"Incident @ I-495 PRIOR TO RT 187[Collision, Fatality]",,2003-12-17 00:44:54-05,2003-12-17 00:42:26-05,2003-12-17 17:07:23-05,accidentsAndIncidents,accident,I-495 PRIOR TO RT 187,39.0150333,-77.1180255,11.0,6.0
MDOT_CHART_67000275004100e0003f07e897035daa,"Incident @ US 1PRIOR CONTEE RD[Collision, Personal Injury]",,2003-12-17 06:44:27-05,2003-12-17 06:45:22-05,2003-12-17 23:07:23-05,accidentsAndIncidents,accident,US 1PRIOR CONTEE RD,39.0740958,-76.866581,9.0,3.0
MDOT_CHART_96003e4b005800e0003f05e89f035daa,Incident @ US 1 AT RIDGE RD (WATERMAIN B[Emergency Roadwork],,2003-12-17 08:21:35-05,2003-12-17 08:22:31-05,2003-12-19 00:37:23-05,roadwork,road construction,US 1 AT RIDGE RD (WATERMAIN BREAK),39.3765999,-76.5052805,1.0,
MDOT_CHART_0300ffeb006c00e0003f05e897035daa,"Incident @ I-495 EAST OF MD 97[Collision, Property Damage]",,,2003-12-17 09:46:44-05,2003-12-17 23:47:23-05,accidentsAndIncidents,accident,I-495 EAST OF MD 97,39.0128111,-77.0411259,6.0,3.0
MDOT_CHART_7100202f007300e0003f07e897035daa,Incident @ TEST I-95 AT US 50[Other],,,2003-12-17 10:13:19-05,2003-12-17 23:22:23-05,accidentsAndIncidents,incident,TEST I-95 AT US 50,38.9594375,-76.8652953,0.0,1.0
MDOT_CHART_9c002159007300e0003f07e897035daa,Incident @ TEST I-95 AT US 1[Other],,,2003-12-17 10:14:04-05,2003-12-17 23:27:23-05,accidentsAndIncidents,incident,TEST I-95 AT US 1,39.0141936,-76.9208554,0.0,1.0
MDOT_CHART_e6fe228e008700e0003f07e897035daa,"Incident @ MD 5 NORTH OF AUTH RD[Collision, Personal Injury]",,2003-12-17 11:43:05-05,2003-12-17 11:40:15-05,2003-12-17 12:40:38-05,accidentsAndIncidents,accident,MD 5 NORTH OF AUTH RD,38.8216469,-76.9211988,3.0,3.0
MDOT_CHART_bcff0868009d00e0003f07e897035daa,"Incident @ US 1 AT MUIRKIRK MEAD[Collision, Personal Injury]",,2003-12-17 13:16:25-05,2003-12-17 13:13:33-05,2003-12-17 14:33:42-05,accidentsAndIncidents,accident,US 1 AT MUIRKIRK MEADOWS,39.0599634,-76.8862076,2.0,6.0
MDOT_CHART_11ff0bb600a100e0003f07e897035daa,"Incident @ I-95 AT GOOD LUCK RD[Collision, Property Damage]",,2003-12-17 13:34:50-05,2003-12-17 13:32:07-05,2003-12-17 14:39:09-05,accidentsAndIncidents,accident,I-95 AT GOOD LUCK RD,38.9778915,-76.8730615,2.0,1.0
MDOT_CHART_8cff240f00aa00e0003f07e897035daa,Incident @ US 1 AT CONTEE,,2003-12-17 13:40:45-05,2003-12-17 14:07:17-05,2003-12-17 15:43:43-05,accidentsAndIncidents,incident,US 1 AT CONTEE,39.0759861,-76.8664668,1.0,2.0
MDOT_CHART_58ff11b900ba00e0003f90e833035daa,Action Event @ I-95 AT EX 38 MD 32,,2003-12-17 15:21:36-05,2003-12-17 15:07:47-05,2003-12-17 15:13:30-05,accidentsAndIncidents,incident,I-95 AT EX 38 MD 32,39.1565774,-76.8226315,0.0,
MDOT_CHART_d7ff133400bc00e0003f90e833035daa,Action Event @ I-70 AT MM 62,,2003-12-17 15:28:01-05,2003-12-17 15:14:12-05,2003-12-17 17:00:47-05,accidentsAndIncidents,incident,I-70 AT MM 62,39.3671809,-77.2455749,0.0,
MDOT_CHART_0400146000bc00e0003f90e833035daa,Action Event @ MD 147 AT JOPPA RD,,2003-12-17 15:28:39-05,2003-12-17 15:14:49-05,2003-12-17 17:00:52-05,accidentsAndIncidents,incident,MD 147 AT JOPPA RD,39.3941079,-76.523589,0.0,
MDOT_CHART_a2ff1bbb00fc00e0003f8ce833035daa,Incident @ MD 216 AT LIME KILN RD[Other],,2003-12-17 20:05:43-05,2003-12-17 20:03:23-05,2003-12-18 14:47:31-05,accidentsAndIncidents,incident,MD 216 AT LIME KILN RD,39.1360257,-76.8785086,1.0,4.0
MDOT_CHART_34000d2c002a00e1003f8ce833035daa,Incident @ I-95 AT MD 210[Other],,2003-12-17 23:17:00-05,2003-12-17 23:14:09-05,2003-12-18 14:12:23-05,accidentsAndIncidents,incident,I-95 AT MD 210,38.8020302,-76.9953972,4.0,3.0
MDOT_CHART_9dff2615009100e1003f8ce833035daa,Incident @ MD 100 EAST OF ARUNDEL MILLS[Emergency Roadwork],,2003-12-18 06:36:58-05,2003-12-18 06:34:07-05,2003-12-18 20:22:23-05,accidentsAndIncidents,incident,MD 100 EAST OF ARUNDEL MILLS,39.1561876,-76.7144575,4.0,2.0
MDOT_CHART_2cffdb0b009900e1003f04e897035daa,Incident @ I-370 RAMP TO I-270 SOUTH[Disabled In Roadway],,2003-12-18 07:10:09-05,2003-12-18 07:07:24-05,2003-12-18 20:27:23-05,accidentsAndIncidents,disabled vehicle,I-370 RAMP TO I-270 SOUTH,39.1194536,-77.1984967,2.0,1.0
MDOT_CHART_f3fe089701a600e1003f04e897035daa,"Incident @ MD 586 AT RANDOLPH RD[Collision, Personal Injury]",,2003-12-18 08:10:32-05,2003-12-18 08:08:00-05,2003-12-18 22:22:23-05,accidentsAndIncidents,accident,MD 586 AT RANDOLPH RD,39.0559706,-77.0818344,3.0,3.0
MDOT_CHART_dbff3f3901b400e1003f05e897035daa,Incident @ I-495 S OF MD 190[Debris In Roadway],,2003-12-18 09:35:16-05,2003-12-18 09:03:01-05,2003-12-18 22:42:23-05,obstruction,debris on roadway,I-495 S OF MD 190,38.9894212,-77.1574435,2.0,2.0
MDOT_CHART_61ff45ac01c100e1003f05e897035daa,Incident @ I-95  AT MD 201[Vehicle Fire],,,2003-12-18 10:00:29-05,2003-12-18 23:32:23-05,accidentsAndIncidents,incident,I-95  AT MD 201,39.0027932,-76.8971528,5.0,2.0
MDOT_CHART_97ff20ec01dd00e1003f04e897035daa,Incident @ I-495 PRIOR MD 185[Disabled In Roadway],,2003-12-18 12:04:28-05,2003-12-18 12:01:44-05,2003-12-18 12:30:16-05,accidentsAndIncidents,disabled vehicle,I-495 PRIOR MD 185,39.0043803,-77.0774507,4.0,1.0
MDOT_CHART_3e003609002d00e2003f8ce833035daa,"Incident @ MD 177 @ CATHERINE AV[Collision, Property Damage]",,2003-12-18 17:41:25-05,2003-12-18 17:38:32-05,2003-12-18 19:30:21-05,accidentsAndIncidents,accident,MD 177 @ CATHERINE AVE.,39.1273591,-76.5461135,2.0,0.0
MDOT_CHART_0d003cf5012d00e2003f04e897035daa,"Incident @ I-95 I/L PRIOR B/W PK[Collision, Property Damage]",,2003-12-18 17:45:29-05,2003-12-18 17:42:44-05,2003-12-18 18:18:46-05,accidentsAndIncidents,disabled vehicle,I-95 I/L PRIOR B/W PKWY L/4,38.9938583,-76.887781,5.0,1.0
MDOT_CHART_360073e5012e00e2003f05e897035daa,"Incident @ I-270 PRIOR TO MD 121[Collision, Property Damage]",,2003-12-18 17:49:55-05,2003-12-18 17:47:02-05,2003-12-18 18:48:32-05,accidentsAndIncidents,accident,I-270 PRIOR TO MD 121,39.2200604,-77.2779273,8.0,1.0
MDOT_CHART_ad007a53013000e2003f05e897035daa,"Incident @ I-270 S. OF DEMOCRACY[Collision, Property Damage]",,2003-12-18 17:55:50-05,2003-12-18 17:52:58-05,2003-12-18 18:14:10-05,accidentsAndIncidents,accident,I-270 S. OF DEMOCRACY BLVD,39.0254183,-77.1417879,4.0,
MDOT_CHART_fbffd1ee006700e2003f8fe833035daa,"Incident @ O/L I-95/495 @ EXIT 2[Collision, Personal Injury]",,2003-12-18 21:57:42-05,2003-12-18 21:54:51-05,2003-12-18 23:09:56-05,accidentsAndIncidents,accident,O/L I-95/495 @ EXIT 20 MD 450,38.9591844,-76.8662231,6.0,6.0
MDOT_CHART_94ff4dcb00aa00e2003f8ce833035daa,Incident @ MD 3 AT ST STEPHENS CHURCH RD[Other],,2003-12-19 02:38:09-05,2003-12-19 02:35:20-05,2003-12-19 14:36:46-05,accidentsAndIncidents,incident,MD 3 AT ST STEPHENS CHURCH RD,39.04273,-76.6686287,8.0,7.0
MDOT_CHART_57ff4e8301d700e2003f04e897035daa,Incident @ I-495 AT GREENBELT METRO[Vehicle Fire],,2003-12-19 05:50:11-05,2003-12-19 05:47:19-05,2003-12-19 20:27:23-05,accidentsAndIncidents,vehicle on fire,I-495 AT GREENBELT METRO,39.0185687,-76.9195146,6.0,4.0
MDOT_CHART_6700577e01e300e2003f04e897035daa,"Incident @ MD 295 PRIOR TO US 50[Collision, Property Damage]",,2003-12-19 06:41:01-05,2003-12-19 06:38:08-05,2003-12-19 20:12:23-05,accidentsAndIncidents,accident,MD 295 PRIOR TO US 50,38.9186082,-76.9369411,5.0,1.0
MDOT_CHART_72005f7501ef00e2003f04e897035daa,Incident @ I-495  AT MD 650[Disabled In Roadway],,,2003-12-19 07:28:24-05,2003-12-19 20:47:32-05,accidentsAndIncidents,disabled vehicle,I-495  AT MD 650,39.0175833,-76.971244,1.0,1.0
MDOT_CHART_ccfea08501f700e2003f05e897035daa,Incident @ MD 450 E. OF CHURCH ST.[Emergency Roadwork],,,2003-12-19 08:03:02-05,2003-12-19 17:52:21-05,accidentsAndIncidents,incident,MD 450 E. OF CHURCH ST.,38.9707528,-76.764785,3.0,4.0
MDOT_CHART_98ff278a003500e3003f07e897035daa,Incident @ MD 97 BETWEEN  WAYNE AND US 29[Other],,2003-12-19 12:30:12-05,2003-12-19 12:27:31-05,2003-12-19 13:37:44-05,accidentsAndIncidents,incident,MD 97 BETWEEN  WAYNE AND US 29,38.9939754,-77.0262281,3.0,5.0
